ID,Q1,Q2,Q3_mysql,Q3_redis,Q3_snowflake,Q3_mongodb,Q3_redshift,Q4,Q5,Q6,Q7,Q8
414,4,2,,1,,1,1,2,1,2,2,2
413,2,4,1,1,1,1,1,2,2,3,3,3
411,2,2,,,1,,,1,,2,2,2
409,2,3,1,1,1,1,1,1,,2,2,2
406,2,3,1,,,,,2,1,2,2,2
403,2,3,,,1,,,2,2,2,3,3
398,3,3,1,,,,,2,2,2,3,3
397,4,1,1,1,,,,2,1,3,3,2
396,3,2,,,1,1,1,1,,2,2,2
393,4,2,,1,1,,,1,,3,3,2
391,3,2,,,1,,1,2,1,3,3,2
390,1,4,1,1,1,1,1,1,,3,3,3
388,2,2,,,1,,,2,2,3,3,3
385,2,2,,,1,,1,1,,3,3,2
383,2,3,,,1,,1,1,,2,2,3
382,1,4,1,1,1,1,1,2,1,3,3,3
380,2,3,,,1,,,1,,2,2,3
376,2,4,,,1,,1,2,1,3,3,3
366,3,2,1,,,,,2,1,2,2,3
365,1,3,,,1,1,1,2,2,2,2,3
364,1,1,1,1,,1,,1,,1,3,2
362,2,3,1,1,,,,2,1,2,3,3
361,2,4,1,,,1,,2,2,2,3,2
360,3,1,,,1,,,2,1,2,2,3
359,2,3,1,1,,1,,2,1,3,3,3
358,2,4,1,1,1,,1,2,1,3,2,3
357,2,4,1,1,1,,,2,1,3,3,3
356,2,4,1,,,,,2,1,2,2,3
355,4,4,1,,,1,,2,1,2,2,3
354,2,3,1,1,,1,,2,1,2,2,2
353,2,4,1,1,,1,,1,,3,3,3
352,2,3,1,1,,1,,2,1,2,3,2
351,2,2,,,1,,1,2,1,3,3,3
350,2,2,,,1,,1,2,1,3,3,3
347,1,4,1,,1,1,1,2,1,1,1,1
346,3,4,1,,,,,1,,1,1,1
344,2,3,,,1,,1,2,1,3,3,3
343,2,2,1,1,1,1,1,1,,3,2,2
342,2,4,,,1,,1,2,1,3,3,3
341,1,1,1,1,1,1,1,1,,1,1,1
340,4,1,1,1,1,1,1,1,,3,3,3
339,3,4,,,1,,,1,,2,2,3
336,4,2,1,1,1,1,1,1,,1,1,2
335,4,1,1,,,,,1,,1,1,2
334,2,3,,,1,,1,2,1,2,2,2
333,2,2,1,1,1,1,1,2,1,3,3,3
332,2,2,1,1,,1,,1,,2,3,2
331,1,2,,,1,,1,2,1,3,3,3
330,2,2,,1,1,,1,2,1,3,3,2
328,4,2,1,,,,,2,2,3,3,3
327,3,3,1,1,1,1,1,2,1,3,2,2
326,3,3,1,1,1,,,1,,2,2,2
325,2,4,1,,,1,1,2,2,2,2,3
324,1,3,1,,,,,2,2,2,1,3
323,1,1,,1,,,,1,,2,2,2
322,1,3,1,1,,,,2,2,3,2,2
320,2,1,1,1,,1,,2,1,3,3,3
319,3,2,1,1,1,1,1,2,1,2,2,3
318,4,1,1,1,1,1,1,2,1,2,2,2
317,2,4,,,1,,1,2,1,3,2,2
316,3,2,,1,,,,1,,2,2,2
315,2,4,1,1,,,,2,1,3,3,3
312,1,1,,1,,,,1,,2,2,3
310,3,3,,,,1,,2,2,2,2,2
309,2,3,1,1,1,1,1,1,,2,2,3
308,2,4,1,1,1,1,1,2,2,3,3,3
307,1,1,1,,,,,1,,2,3,2
306,1,4,1,,1,,,1,,2,2,2
305,1,4,1,1,1,1,1,2,1,3,3,3
303,4,1,1,1,1,1,1,2,1,3,3,3
302,2,3,1,1,1,1,1,2,1,3,3,3
301,2,3,,1,1,1,,2,1,2,2,3
300,2,2,1,1,,1,,2,1,2,2,3
299,2,3,1,1,1,,,2,1,2,2,3
298,2,2,,,1,1,1,2,1,2,2,2
297,3,2,1,,,1,1,2,1,3,3,2
294,1,4,1,1,1,1,1,2,2,3,3,3
293,2,1,1,,1,,,2,2,3,2,2
292,2,2,1,,1,,,2,1,2,2,2
291,1,2,1,,1,,,1,,1,2,2
290,4,2,1,1,,,,2,2,2,2,2
289,4,1,1,,,,,2,1,2,2,2
288,1,4,,,1,,1,2,1,3,3,3
287,2,4,1,,1,,,2,1,3,3,3
286,1,1,1,,,,,1,,1,2,3
285,1,1,1,,,,,1,,3,1,1
284,1,1,1,,,,,1,,2,2,2
283,1,3,,,1,,1,2,1,2,2,3
282,1,3,1,,,,,2,2,2,2,3
281,4,4,1,,,,,2,2,3,2,3
279,3,2,,,1,,,2,1,3,3,3
278,2,4,,,1,,1,2,1,2,2,2
277,3,1,1,,,,,2,2,2,2,2
275,1,4,,,1,,1,1,,1,1,3
274,2,4,,,1,,1,2,1,2,2,2
273,1,1,1,,,,,1,,1,1,1
272,2,4,,,1,,1,1,,1,2,3
271,3,1,1,,,,,2,1,1,1,1
270,3,3,1,,1,,1,1,,3,3,3
269,1,2,1,,,,,1,,2,2,2
268,4,1,1,,,,,1,,3,3,3
267,2,2,1,,,1,,1,,2,2,2
266,2,1,1,,,,,1,,3,2,3
263,2,2,,,1,,1,1,,2,2,2
262,3,2,1,1,1,1,1,2,1,3,3,3
261,3,1,1,1,1,1,1,1,,2,2,2
260,3,2,1,1,1,1,1,1,,3,3,3
259,3,2,1,,,,,2,1,2,3,2
258,3,1,1,,,,,2,1,3,3,3
257,1,4,1,,,1,,2,1,2,1,3
255,4,2,,,,1,1,2,1,2,2,2
254,2,2,1,1,1,1,1,2,1,2,2,2
252,2,4,,,1,1,,2,1,1,2,2
251,3,2,,,1,1,,2,2,2,2,2
250,2,4,,,1,,1,1,,2,1,3
249,3,1,,,1,,,2,2,2,1,1
247,3,2,1,1,1,1,1,2,1,3,3,3
246,1,1,1,,,,,1,,3,3,3
245,3,2,1,,,,,1,,2,2,2
244,3,3,1,1,1,,,1,,3,3,3
243,1,4,1,1,1,,,2,1,1,2,3
242,1,2,1,,1,,,1,,1,1,2
240,4,1,1,1,,,,2,2,3,2,3
238,2,2,1,1,1,,,1,,2,2,2
237,4,2,,,1,,1,2,2,2,2,2
235,4,2,1,,1,,1,2,1,2,2,3
234,4,1,1,,,,,1,,2,2,3
231,2,2,,,1,,,2,2,2,2,3
230,1,4,1,,,,,2,2,3,3,3
227,2,3,,,,1,,2,1,2,3,2
226,2,4,1,,,1,,2,1,3,3,3
225,3,2,,,1,,1,2,2,2,2,3
224,3,2,1,,1,1,,2,1,2,2,2
223,2,4,1,,,1,,2,1,3,3,3
222,1,2,,1,,,,2,2,2,2,2
221,2,2,1,1,,1,,2,1,2,2,3
220,3,2,1,1,,1,,2,1,2,2,2
219,2,2,1,,1,,,2,2,2,2,2
218,4,1,1,1,1,1,1,1,,3,3,2
217,4,1,1,1,1,1,1,2,1,2,2,2
216,3,4,,,,1,1,2,1,3,2,2
215,2,1,1,,,,,1,,2,2,2
214,2,2,1,,,,1,2,1,3,3,2
213,2,4,,,1,1,1,2,1,3,3,3
212,2,2,,1,,1,,1,,2,2,2
211,1,4,1,1,,,,2,2,2,2,3
210,3,2,1,,,,,2,2,2,2,3
209,2,3,1,1,1,1,1,2,2,2,2,2
208,4,1,1,1,1,1,1,2,1,2,3,2
207,1,2,1,,,,1,2,1,2,2,3
206,1,1,1,,,,,1,,2,1,3
205,1,2,1,,,,,1,,2,2,2
204,2,2,,,1,,,2,1,1,2,2
203,1,3,1,1,,,,1,,3,3,3
202,2,4,1,1,1,1,1,1,,2,2,2
201,4,1,1,,,,,1,,1,1,2
200,2,1,1,,,,,1,,2,2,1
199,4,4,1,,1,,,2,2,3,3,3
198,4,1,1,1,1,1,1,1,,1,1,1
196,1,2,1,1,1,,,2,2,2,2,2
195,4,1,1,1,1,1,1,2,1,2,2,1
194,4,4,1,,,,1,2,1,3,3,1
193,4,4,,1,,,,2,1,3,1,2
192,2,2,,,,1,,2,1,2,1,3
191,2,4,1,,,,,2,1,1,2,2
190,4,1,1,,,,,2,1,3,3,2
189,1,2,1,1,1,,,1,,3,3,3
188,4,2,1,,,,,1,,2,2,3
187,4,2,1,,1,,1,2,2,2,3,3
185,2,2,,1,1,,,1,,3,3,3
184,4,2,1,,1,,1,2,2,2,2,2
183,3,3,1,1,1,1,1,1,,1,1,3
182,3,3,1,,,,,1,,2,2,2
181,2,4,1,,,,,2,2,2,1,1
180,3,2,,,,,1,2,2,3,3,1
179,3,2,1,1,1,1,,2,2,2,2,2
178,1,2,,1,1,1,,2,1,3,3,3
177,2,2,,,,1,,1,,1,1,2
176,1,1,1,,,,,1,,2,2,2
175,4,1,,,1,1,,2,1,2,2,2
174,2,1,1,,1,1,1,2,2,2,2,2
173,4,2,,,,1,,2,1,2,2,2
172,4,2,1,,,,,1,,2,2,3
171,3,1,,,1,,,2,1,2,2,2
170,1,3,1,1,,1,,2,2,2,1,2
168,1,3,1,,,,,2,1,2,2,2
167,3,2,,1,,,,2,2,2,2,3
166,1,3,,,1,,,2,1,2,3,2
165,4,1,,1,1,1,,1,,1,2,1
163,4,1,,1,1,1,1,2,1,2,2,2
162,2,2,1,,1,,,2,1,2,2,2
161,1,1,,1,,,,1,,1,1,1
160,2,2,1,,,,,2,1,2,2,2
159,1,1,1,,,,,1,,1,1,1
158,1,1,1,,,,,1,,2,2,2
157,1,1,1,,,,,1,,2,2,1
156,3,1,,,1,,,2,1,3,3,3
155,1,1,1,,,,,1,,1,1,1
154,2,3,1,,,,,2,1,3,3,3
153,2,3,,1,,,,2,1,3,3,3
152,1,1,1,,,,,1,,1,1,3
151,1,2,,,1,,1,2,1,3,2,3
150,2,1,,,,,1,2,1,1,2,2
149,1,1,1,,,,,1,,1,1,1
147,2,2,1,1,1,1,1,2,1,3,3,3
146,4,2,,,1,,1,2,2,2,2,2
145,2,2,1,1,1,1,1,1,,3,3,3
144,4,2,,,1,,1,2,2,2,2,2
143,1,2,1,1,,1,,1,,3,3,3
142,2,2,,,1,,1,2,2,2,2,2
141,2,4,1,1,1,1,,2,1,3,3,3
140,2,4,,,1,,1,2,2,2,2,2
139,1,1,1,,,,,1,,2,2,1
138,2,3,1,1,,,,2,2,2,3,2
137,1,4,,,1,,1,2,1,3,3,3
136,2,1,1,1,1,1,1,2,1,2,2,2
135,2,3,1,1,,,,2,2,2,2,2
134,4,1,,,1,1,1,2,1,3,3,3
133,1,4,1,1,1,1,,2,1,3,3,3
132,1,1,1,1,,,,2,2,2,3,2
130,1,2,,,1,,1,1,,1,1,1
131,2,2,1,,1,,,2,2,2,2,2
129,2,3,,,1,,1,1,,2,2,2
128,4,1,1,,1,,1,2,1,2,2,3
126,1,2,1,1,,,,2,2,2,2,3
125,2,3,1,1,,1,,1,,1,2,2
123,1,1,1,1,,,,1,,1,2,2
122,2,2,1,1,,1,,2,2,2,2,2
121,1,2,1,1,,,,1,,2,2,2
120,1,2,1,1,,,,2,2,2,2,3
119,3,2,1,,,1,,2,1,2,2,2
117,2,3,,,1,,1,2,1,3,3,3
116,4,2,,,1,,,2,2,2,3,3
112,2,2,1,1,,1,,2,2,3,3,3
109,2,2,,,1,,1,1,,2,2,2
108,1,2,,,1,1,1,2,1,3,2,3
107,3,2,1,,,1,1,2,1,3,3,2
106,1,4,1,,1,,,1,,2,2,3
105,2,2,1,1,,1,,2,1,2,2,2
104,2,4,,,1,,1,2,1,2,2,2
103,2,3,,,1,,1,1,,2,2,2
101,4,1,1,,,1,,1,,2,2,2
100,1,4,,,1,,1,1,,3,3,3
98,2,4,1,1,1,1,1,2,1,3,3,3
97,2,2,,,1,,1,2,1,2,2,2
96,1,4,1,,,1,,2,2,3,3,2
95,3,2,1,,1,,,2,1,3,3,2
92,1,4,,,1,1,,1,,3,3,3
90,4,1,1,,,,,1,,1,1,1
89,4,1,,,,,1,2,1,3,3,2
88,1,4,,,1,,1,2,1,3,3,3
87,2,2,,,1,1,1,2,1,2,2,2
86,2,3,1,,,,,2,1,2,2,3
85,2,4,,,1,,1,2,1,3,3,3
84,3,3,,,1,1,1,2,1,3,2,2
81,2,2,1,,1,,1,2,1,2,3,2
80,1,4,,,1,,1,2,1,3,2,1
79,4,1,1,,1,,1,2,1,2,2,2
78,2,2,,1,1,,1,2,1,3,3,1
74,3,2,,,1,,,2,2,3,3,3
71,2,3,,1,1,1,,2,1,3,3,3
70,1,1,,,1,,1,2,1,3,3,2
69,1,2,,,1,,1,2,1,3,3,2
67,2,2,1,,,,,2,2,2,2,3
66,2,2,1,1,,,,2,1,3,3,3
64,1,2,,1,1,,1,2,1,3,2,3
62,2,2,1,1,,1,,1,,2,2,3
60,1,2,1,,,,,2,2,3,3,2
58,4,1,,,1,,1,2,2,2,2,2
57,3,1,,1,1,1,1,2,2,2,2,2
56,3,2,1,1,1,1,1,1,,3,3,2
55,2,4,,,1,,1,2,1,3,3,3
54,4,1,,,,,1,2,1,3,3,3
53,3,1,,,1,1,1,1,,2,2,2
52,2,2,,,1,,1,1,,3,3,2
50,3,3,1,,,1,1,2,1,2,2,2
49,3,1,1,,1,1,,2,1,3,3,2
45,2,2,,,1,1,,2,1,2,2,2
43,3,2,1,,,1,,2,1,3,3,3
42,2,1,,,1,,,1,,2,3,3
41,2,3,1,1,,,,1,,2,2,3
40,4,1,1,1,1,1,1,1,,2,1,1
38,3,2,,1,,,,1,,2,2,2
37,4,4,,,,,1,2,1,3,3,1
35,3,2,1,1,1,1,1,2,1,2,3,2
33,1,2,1,,,,,2,1,3,3,2
32,1,3,1,1,,1,,2,1,3,3,2
31,1,2,,,1,,1,2,1,3,3,3
30,1,4,1,,,,,1,,2,1,1
24,2,1,1,,,,,2,1,3,3,2
21,3,2,,1,1,,1,2,1,3,2,3
20,1,1,1,,,,,1,,2,2,2
19,3,1,1,1,,1,,2,2,2,2,2
17,1,4,,,1,,1,2,1,3,2,2
16,3,2,1,,,,,2,1,3,3,3
15,3,2,1,1,1,1,1,2,1,3,3,3
14,4,2,,,1,1,1,2,2,2,2,2
13,3,2,1,,,,,2,1,3,3,2
12,3,2,1,,,,,2,2,3,3,2
9,1,1,,,1,,1,2,1,3,2,2
8,3,3,,1,,1,,2,2,2,2,2
7,2,3,,1,1,1,,2,2,3,3,3
5,1,2,,,1,1,1,2,1,3,3,3
4,3,2,,,,1,1,2,1,3,3,3
